,decimalLatitude,decimalLongitude,elevation,date
0,46.29982,7.91708,658.0,1899-12-30 00:00:00
1,47.14918,7.50258,500.0,1905-06-29 00:00:00
2,47.14918,7.50258,500.0,1905-06-28 00:00:00
14,46.39338,6.9914,1448.0,1970-01-01 00:00:00
15,46.34986,7.16844,1246.5,1970-01-01 00:00:00
19,47.33901,9.18746,900.0,1971-01-01 00:00:00
27,47.48006,8.10727,520.0,1980-01-01 00:00:00
28,46.90811,9.80881,935.0,1980-01-01 00:00:00
33,47.44135,7.88142,546.5,1985-06-19 00:00:00
34,47.45642,8.11227,690.0,1985-01-01 00:00:00
45,47.35338,7.36279,410.0,1989-05-01 00:00:00
49,46.9348,9.78043,1325.0,1990-01-01 00:00:00
53,47.57878,9.06228,418.0,1992-07-08 00:00:00
54,47.60876,8.6897,398.5,1992-06-01 00:00:00
55,47.32121,7.64801,550.0,1992-07-17 00:00:00
56,47.33118,7.62781,1100.0,1992-08-12 00:00:00
67,46.61812,7.26762,1500.0,1995-01-01 00:00:00
80,47.34747,7.96135,400.0,1995-07-11 00:00:00
83,47.44462,8.93778,610.0,1995-08-01 00:00:00
84,47.07208,8.78718,1200.0,1995-01-01 00:00:00
104,46.4707,7.14518,910.0,1996-01-01 00:00:00
110,46.47036,7.15299,910.0,1996-01-01 00:00:00
115,46.93386,7.45925,509.5,1997-01-01 00:00:00
145,46.97312,7.44021,488.0,1998-01-01 00:00:00
146,46.97618,7.44389,489.0,1998-01-01 00:00:00
147,46.97096,7.44941,501.0,1998-01-01 00:00:00
150,46.97987,7.44192,488.5,1998-01-01 00:00:00
151,46.97141,7.45493,505.0,1998-01-01 00:00:00
252,46.71709,7.69019,567.5,1998-07-24 00:00:00
258,47.23609,7.23347,725.0,1998-08-27 00:00:00
274,46.91283,8.58935,585.0,1998-04-17 00:00:00
381,46.08226,7.21866,917.0,1999-06-09 00:00:00
382,46.91888,6.62468,735.0,1999-06-11 00:00:00
383,46.91906,6.62423,735.0,1999-06-10 00:00:00
384,46.91894,6.62438,735.0,1999-06-10 00:00:00
385,46.74893,7.3804,1376.0,1999-07-27 00:00:00
386,46.91925,6.62424,733.0,1999-06-11 00:00:00
387,46.08213,7.2187,912.0,1999-06-09 00:00:00
388,46.08206,7.21895,919.0,1999-06-07 00:00:00
389,46.91878,6.62391,734.0,1999-06-10 00:00:00
390,46.082,7.21859,904.0,1999-06-07 00:00:00
391,46.08127,7.2188,896.0,1999-06-10 00:00:00
392,46.91901,6.62393,734.0,1999-06-10 00:00:00
393,46.91943,6.62367,733.0,1999-06-10 00:00:00
394,46.91866,6.62383,734.0,1999-06-11 00:00:00
395,46.91847,6.62408,735.0,1999-06-11 00:00:00
396,47.28129,7.09025,850.0,1999-06-24 00:00:00
397,46.74852,7.3798,1375.0,1999-07-26 00:00:00
398,45.95301,8.92902,627.0,1999-01-01 00:00:00
399,46.97825,7.45059,533.0,1999-01-01 00:00:00
407,47.33348,7.86332,420.0,1999-07-09 00:00:00
409,47.09009,6.8212,1030.0,1999-01-01 00:00:00
410,46.51569,6.65419,465.5,2000-07-21 00:00:00
411,47.0372,8.5821,448.0,2000-06-13 00:00:00
412,47.25636,8.82,495.0,2000-05-26 00:00:00
413,47.40252,9.61768,410.0,2000-05-23 00:00:00
414,47.4101,8.48949,518.5,2000-07-06 00:00:00
415,47.41017,8.48949,518.0,2000-07-06 00:00:00
416,47.31109,8.70374,460.0,2000-01-01 00:00:00
417,47.27399,8.55537,518.0,2000-01-01 00:00:00
419,47.41017,8.48948,519.5,2000-07-06 00:00:00
420,46.55875,7.61534,900.0,2000-10-19 00:00:00
421,46.53089,7.5944,1000.0,2000-10-20 00:00:00
422,46.84668,9.88415,1400.0,2000-01-01 00:00:00
423,46.83884,9.87199,1500.0,2000-01-01 00:00:00
424,46.86791,9.88052,1180.0,2000-01-01 00:00:00
425,47.3779,7.99475,435.0,2000-05-04 00:00:00
426,47.25636,8.82001,495.0,2000-05-01 00:00:00
427,47.41162,8.49354,528.0,2000-07-06 00:00:00
428,47.41164,8.4935,528.0,2000-07-06 00:00:00
429,47.36279,8.74541,558.5,2000-01-01 00:00:00
431,47.46276,8.62238,515.0,2000-01-01 00:00:00
432,47.41162,8.49352,528.0,2000-07-06 00:00:00
433,46.89743,7.52358,515.5,2000-01-01 00:00:00
434,46.90938,7.51185,517.0,2000-01-01 00:00:00
435,46.89675,7.52977,516.0,2000-01-01 00:00:00
438,46.51569,6.65419,470.0,2000-07-21 00:00:00
439,46.75782,7.30361,768.5,2000-01-01 00:00:00
440,47.15163,8.73062,837.5,2000-01-01 00:00:00
441,46.88842,7.54674,520.0,2001-01-01 00:00:00
442,46.88323,7.54572,519.0,2001-01-01 00:00:00
443,46.88885,7.54574,520.0,2001-01-01 00:00:00
444,46.88074,7.54592,519.5,2001-01-01 00:00:00
445,46.89137,7.53883,518.0,2001-01-01 00:00:00
446,46.88834,7.54681,520.0,2001-01-01 00:00:00
447,46.88991,7.54187,520.0,2001-01-01 00:00:00
448,46.8797,7.54643,520.0,2001-01-01 00:00:00
449,46.88901,7.54621,520.5,2001-01-01 00:00:00
450,46.88049,7.54574,520.0,2001-01-01 00:00:00
451,46.93287,7.46094,510.0,2001-01-01 00:00:00
452,46.88105,7.54639,519.5,2001-01-01 00:00:00
453,46.89154,7.53862,518.0,2001-01-01 00:00:00
454,46.89148,7.53879,518.0,2001-01-01 00:00:00
455,46.89259,7.53745,518.0,2001-01-01 00:00:00
456,46.89218,7.53803,518.0,2001-01-01 00:00:00
457,46.89042,7.54154,520.0,2001-01-01 00:00:00
458,46.89182,7.53832,518.0,2001-01-01 00:00:00
460,46.893,7.53713,518.0,2001-01-01 00:00:00
462,46.8928,7.53648,517.5,2001-01-01 00:00:00
463,46.89025,7.54104,519.0,2001-01-01 00:00:00
464,46.89032,7.54114,519.0,2001-01-01 00:00:00
465,46.89041,7.54162,520.0,2001-01-01 00:00:00
466,46.89005,7.54183,520.0,2001-01-01 00:00:00
467,46.89505,7.53557,518.5,2001-01-01 00:00:00
468,46.89036,7.54164,520.0,2001-01-01 00:00:00
469,46.88999,7.54183,520.0,2001-01-01 00:00:00
470,46.89468,7.53576,518.0,2001-01-01 00:00:00
